8548 27917
3759 1304 581
1374 6687 338
4991 5332 -349
2115 3636 -837
1350 925 -125
4800 179 -570
6053 3980 -946
5107 3784 280
445 5709 37
5160 5572 929
6118 2175 -461
3830 1878 -235
2375 3677 496
3351 1471 897
787 3914 895
2358 6508 -632
4939 3813 -624
592 7473 -591
6402 3400 98
2964 4109 132
6115 7566 -127
2853 902 555
2093 5115 749
8182 457 798
708 6935 -781
6616 8547 -822
3791 4314 595
3787 1615 -879
4115 7755 867
3873 564 -367
2313 1503 909
6354 2454 -59
6146 4665 -84
1114 965 -67
850 6815 886
5055 2961 145
4540 27 -10
8303 2384 -678
3879 6308 -764
6003 126 -962
4275 2228 -288
2652 3891 217
5704 7251 -964
8132 3292 -419
4059 2115 971
1265 2896 -28
4901 2081 -428
1167 1653 896
6105 1868 -532
5269 1861 -211
6231 288 -554
7864 1779 -403
4372 7927 -406
6759 69 -873
7563 4595 527
1528 2363 -125
7393 1786 -210
1306 3921 931
5854 8131 472
5769 2042 276
3716 618 596
4299 2902 484
74 3267 -486
3328 3266 639
8099 3036 -98
8509 1016 831
7477 4182 176
8195 4564 -45
2059 975 656
5180 7525 105
4793 8350 996
6743 2977 493
840 1985 -882
2591 5174 -264
5622 821 -201
2888 3956 404
567 6764 325
392 5131 -794
2608 3420 612
3329 5033 535
3261 5231 36
5607 6423 -75
851 7350 334
8159 8092 -818
1052 7177 -730
7687 2079 397
5616 7261 -203
5399 6554 603
4900 3875 -444
4425 5034 -657
3803 5695 724
4732 4258 898
2161 2634 -682
1387 1025 -669
330 3899 945
2578 5518 813
4570 425 31
6692 456 -544
681 1357 627
7461 2237 789
2639 7060 -646
7241 6628 79
6312 7362 -479
5715 1112 923
1903 3405 278
5493 6107 -33
97 1236 -411
5698 3450 676
3823 4474 432
1190 953 913
4234 5900 275
6140 3736 338
6893 5655 983
7644 5058 -630
623 5603 -643
6141 326 -793
2722 1199 -605
7071 8397 300
764 2321 330
5914 690 449
2499 4000 304
3826 8368 730
2828 1338 512
2194 4976 -185
7561 2460 943
2105 7606 -746
868 2410 -806
7472 7356 -266
5327 1122 8
7 3844 -484
7455 3850 254
3612 6140 586
629 5616 814
4285 4644 -948
71 1732 37
3012 5522 -690
2422 1225 -869
218 5985 -735
7686 1681 693
2668 3916 706
5238 2043 -85
7154 4890 337
3876 3408 -716
3755 4719 571
2212 938 -927
2872 8183 5
2591 4453 745
2624 1976 -750
5763 3984 11
7297 6023 -971
5153 3893 616
4743 967 -390
3221 6743 -632
1178 5018 -531
3155 2787 321
6702 7557 -541
5377 3607 -120
2236 459 -252
4238 1494 -350
5304 2090 687
1035 5046 -152
5010 4205 624
701 586 744
5944 2910 428
6675 1333 710
5835 7012 -620
7845 5415 778
7356 2467 103
6326 5416 434
8330 5617 -63
5281 8019 -605
2947 41 688
6282 614 963
7994 2152 -201
70 4354 -475
2381 2976 -98
2549 7245 -550
5234 2675 -12
6677 1485 -794
7782 1076 276
6280 3724 -636
363 7193 457
7595 7211 341
5058 2974 733
6498 1352 -291
540 1217 -509
5130 8537 168
7774 1790 3
8398 711 88
1695 6838 388
8422 1122 -50
5945 5674 -309
5900 4656 602
7894 8104 282
3389 7613 -61
1445 6894 754
2806 1364 -923
6526 1563 -594
3761 5248 -313
4083 1296 777
6049 2959 871
8043 7964 -909
3409 720 -487
4581 3252 392
6683 2627 -152
1706 310 -249
1613 6180 -743
1144 236 26
3889 2762 66
6183 1949 735
1744 4475 -198
4355 6585 -668
4491 4608 354
3934 500 990
8326 5597 874
3698 4442 735
7232 5690 -107
3767 7554 -345
4640 6805 811
5055 1742 -890
6202 1703 -177
1057 6719 337
606 6450 997
3386 3396 190
7525 7370 -104
6177 246 165
2162 5485 734
5390 2255 310
367 2101 -546
635 3939 822
1862 5948 951
6971 37 485
8424 1610 673
2941 3287 -670
1374 8465 430
5875 7199 990
3663 7096 166
668 4406 904
192 4910 -308
4110 5285 -774
8348 263 320
853 2462 249
4673 2686 -863
6827 4595 -653
5331 4111 357
4771 5460 -717
2156 7867 -925
328 109 367
461 2180 656
4825 308 -199
8032 359 136
7949 8358 357
876 1597 267
2591 1604 563
402 2709 -893
6415 2227 -414
2323 8112 273
7947 1552 590
5327 2646 -244
3384 5593 -458
2429 2124 -258
5598 5848 981
614 2936 -392
840 8039 473
7536 6066 325
436 3650 787
6532 5773 907
8396 2189 -206
60 4267 -641
178 3306 643
7060 7484 -752
6163 1049 795
2293 7484 896
355 7830 297
1225 3367 -797
8134 3018 346
8047 5152 -235
7908 1475 676
5959 407 608
6805 294 -768
169 4071 966
381 5094 -864
4823 91 -194
4627 8116 272
3455 4615 -417
7211 5181 -741
1098 6931 217
2383 7892 521
7890 4939 -31
3207 1258 -768
4575 4301 216
5339 3440 407
4693 2709 -59
6094 1433 -51
281 4752 488
7099 531 426
506 3473 -565
3077 1437 889
130 3085 -59
254 3859 470
4487 3412 413
672 8122 -158
8164 6030 -685
2589 6041 -443
5544 3323 -196
1945 7082 218
3830 2515 -441
5911 347 -652
6823 6149 181
7150 3399 -166
7098 5038 900
6276 7886 867
1733 3718 -730
8390 2255 377
2791 5320 -672
4366 4482 876
7290 5823 485
4912 4540 -99
7223 7757 132
7850 3623 -553
8009 7385 -217
222 5829 522
4263 6643 551
4742 149 -557
8149 6370 885
4281 3597 841
907 1692 -255
6748 6502 59
7080 1213 -112
1596 1377 404
3617 362 -541
4483 1701 649
76 2224 122
3973 727 -142
6133 5019 41
4970 1687 265
459 2607 194
2647 7230 -881
5380 2331 212
1343 872 -829
8128 3855 587
4193 3512 -850
3247 5150 -631
3318 181 -373
2535 6169 544
4435 6967 -40
3299 7221 6
1501 4920 -844
8146 6157 -725
452 7314 -538
7282 3574 143
3204 570 -759
5603 682 225
7555 1910 -492
3029 4505 -1000
7752 6541 832
4269 4848 233
2718 4155 -483
7800 4527 354
1066 6341 -463
6475 1861 -732
3131 6592 -95
4557 1403 -849
4557 5761 587
3327 3550 -246
3828 310 -876
3359 1690 -654
1824 6518 891
4831 7538 161
5135 137 -683
6412 4894 -862
4952 1285 -372
7633 2152 -956
7455 2643 -521
2252 4046 -90
7754 8260 -257
5805 4418 463
1991 7636 412
7916 6376 -744
5474 319 723
3111 7848 -190
8210 7787 -720
5875 5528 -803
117 3547 -250
3857 3392 -852
8051 6841 734
349 462 -858
1391 5634 -63
1635 7059 917
3460 8370 -314
844 4470 -220
7314 4650 -664
3775 5704 -277
49 6632 343
5768 3203 -173
4948 283 -683
5882 6369 -603
373 7769 53
7571 174 -904
5592 1021 401
2934 3026 81
6964 5528 66
5136 2678 426
7274 2072 -461
6828 5854 -951
4107 5274 -899
6616 4568 -553
3072 718 370
720 6 -347
1749 5486 -150
6583 2336 491
4360 8089 290
5304 70 931
1704 5554 67
6702 405 -943
3316 5984 -945
2626 3994 328
4205 4395 -943
5293 4714 903
8533 7318 -934
2775 4043 356
7654 2494 -198
2242 8407 -568
4134 2368 -181
2717 7974 196
3466 1019 -984
515 4057 -836
8303 8233 -840
3015 3159 675
3463 7832 196
3623 879 -582
8053 3959 -431
4015 5343 405
795 7348 -307
4369 1079 -35
2873 1512 160
1565 3413 269
5854 2463 430
5893 7522 563
7766 8171 182
5262 8222 596
3653 2517 391
2513 5079 190
1537 769 -214
140 1941 -120
1579 454 34
3435 4576 900
5525 8510 103
7871 7568 521
7525 4352 -494
5686 5488 -949
2435 3310 -439
4286 2707 -205
5904 1595 622
340 2625 661
8172 7659 -872
162 4302 -527
4617 6903 351
2340 5192 753
3234 1651 19
3263 4166 116
355 5963 713
1514 380 805
3966 6615 -139
7716 4638 191
629 936 828
8324 6270 649
5030 6669 -486
6713 216 -599
4324 6933 857
2503 1470 82
2933 6247 -1000
2959 3799 -668
6489 1007 -241
5828 6580 808
6770 222 -262
6765 2083 -995
6953 1562 355
3721 6728 189
1478 3873 -743
6556 5220 -271
3955 2991 -727
5276 3395 -100
547 7765 131
165 265 983
2239 7555 648
1158 4773 -114
7239 2189 506
1472 2554 -646
4215 1919 327
5189 7046 -739
8267 6567 33
6736 4196 761
5790 234 -688
1193 5251 -751
4924 2179 907
7791 2611 474
3017 3546 654
2186 4164 517
1735 8419 -604
3923 7702 -390
1480 6531 730
6376 5195 -26
343 6679 626
5950 4610 -659
2356 1115 -818
2444 6315 -674
1455 1564 924
3944 7945 -721
5775 6843 462
8157 7038 -438
4817 6794 -331
5860 2317 -751
3590 1230 804
3472 54 -382
4830 1123 973
5024 5350 -342
3188 6728 853
2036 5876 11
3635 1313 595
2116 1135 -160
5767 4416 611
4813 7750 85
4048 1366 -614
5172 1845 428
8020 7014 572
6349 7002 -536
3074 5141 721
4255 7341 -751
4443 4398 -373
336 2073 354
5980 6428 680
7188 1040 -282
3671 638 -265
1426 6694 -437
5850 636 481
6312 1175 119
3297 8475 -688
864 1362 -50
6723 1272 -218
3649 6207 -513
609 6294 927
4198 3037 -245
1915 3417 -533
1095 5599 -479
1772 5221 -874
1630 8440 -340
2083 3217 -825
7760 6334 142
7626 1912 586
1299 7377 -958
2221 4413 350
1951 859 549
6990 3994 313
7333 1775 -892
4118 7166 245
2609 3287 694
4984 625 -448
8139 1067 937
1122 2399 421
140 1150 -14
1202 6132 675
4238 6596 686
7393 335 -170
381 201 -531
7787 5676 -775
8307 1296 -731
8021 6196 -445
5348 2752 -358
6947 7713 303
4234 6040 912
7266 3164 -508
5963 6750 -86
5089 443 -953
8166 5572 793
2968 921 -874
7661 6716 -271
2931 266 -539
623 832 -428
3903 3301 -392
4573 2271 -740
2738 4874 50
3516 3107 -234
4289 7706 946
6659 6214 -753
3454 4028 521
5053 168 -663
2759 4923 -943
7790 5383 -282
1326 2152 -273
6374 4331 668
1586 2334 636
5955 6626 -778
3591 2432 -480
8377 1440 -870
1702 920 -306
7562 713 -829
4357 6080 -564
6012 2355 872
1559 623 -408
6669 7786 -354
6930 7359 472
8362 2017 619
5706 1605 230
904 2571 -343
8143 6442 -896
488 875 37
94 5484 -437
7425 7094 -847
8042 6931 -384
323 5662 409
1125 1085 -473
1276 8098 -884
6493 6981 486
3417 5002 821
8198 2442 -229
839 8518 -675
7109 4973 -779
1835 5311 473
1183 2963 118
6018 2070 35
5837 7029 -844
5805 657 867
7986 7002 546
6410 7079 904
3214 496 -132
6533 3132 -710
2880 4637 -95
7684 2356 45
4507 6176 299
1909 1014 -168
1400 5629 785
941 2638 -775
8165 8542 -824
8258 7117 -52
5250 7135 -911
4773 4000 -754
1766 8397 -501
1083 6116 -356
6758 559 -109
7520 2408 234
2742 2395 778
5089 3562 292
2325 5002 101
3183 1407 -50
3047 5924 950
8318 5495 -379
5358 2424 -28
1687 3634 423
6807 6590 680
6451 5958 311
973 5042 282
4215 459 -699
4232 968 462
1976 773 510
5044 2004 -537
4085 3277 -633
2334 5271 407
5633 1205 -676
5747 1765 -49
4848 4160 776
4418 245 136
1019 5213 -326
6823 1743 287
4841 1139 523
7367 3781 -720
35 7075 -928
5312 1303 470
4297 1039 -412
5416 8331 -312
8254 5894 822
1663 3474 -389
8007 3156 586
4455 4935 608
2885 755 179
8326 2373 -704
2538 1761 -646
2243 727 596
521 3610 328
6146 3838 458
855 2745 515
549 405 -587
3260 3358 -262
4034 893 80
6358 2165 455
1754 5230 791
5959 3732 143
2574 2899 330
4193 5793 86
6121 6214 -533
5068 5361 -6
4975 6874 -76
3242 5936 -380
2291 5591 -543
5717 1176 -643
2738 5150 114
1665 6692 608
4072 7436 -322
538 1464 914
6594 4262 -781
2383 2705 273
156 218 576
2184 2725 389
5647 3695 365
4232 8535 721
5309 2628 -317
7108 536 -735
6784 2909 -404
3735 3922 644
8185 2768 -138
363 6202 -688
93 6575 -545
8023 7152 957
7095 8500 830
586 2391 -419
757 8518 107
6719 6194 -511
4206 5567 305
2286 2065 -425
5206 6287 -803
5808 7485 -460
1757 5625 546
4172 1839 583
5404 5102 570
4860 3868 166
34 6655 -148
1805 8382 -11
8356 1908 837
2343 7967 -885
1656 2969 -482
3564 5727 418
2909 214 -988
1553 8219 -471
912 3721 598
1173 745 490
8033 6455 837
6536 2938 389
4189 2618 101
839 2938 729
4033 462 982
5421 5157 -123
7408 8334 724
4455 192 481
900 6834 -111
8548 1367 -997
6077 5972 -859
7317 6451 -603
3355 2640 868
8531 6145 204
2484 3741 590
6984 4428 -337
1491 7345 13
2410 480 -700
5677 7630 -515
7919 1671 677
29 5839 77
3495 4109 -584
7624 2084 -81
3875 7318 -384
454 1149 -42
2752 194 -575
6285 7691 -699
3621 4523 -567
1790 3230 299
4528 2665 327
2782 6756 -549
7037 8261 -113
8234 3733 325
4610 500 876
4659 3669 848
2442 2405 -83
3309 8125 293
4784 51 -317
7595 23 -79
5326 4396 -121
6117 5354 407
7001 4317 -833
6037 8465 -276
5819 5295 661
5262 1825 -977
5319 896 -936
6882 1748 462
5541 7373 919
4200 7630 -968
3795 3512 398
7712 1159 126
1982 3597 -391
5939 2328 422
1360 5000 -358
3985 8347 955
4833 5588 -578
4806 7860 -669
5278 503 -191
4717 7792 670
2543 3697 -218
3474 1414 116
4865 5960 51
7757 4685 42
233 6908 249
5270 189 219
273 461 84
820 4595 236
7521 1167 -110
549 4140 631
176 1619 398
7656 7328 340
4899 4051 -45
2583 6402 124
3250 4901 -613
2861 828 794
8051 3225 296
7460 734 379
7609 8457 41
3658 4986 -41
7814 4243 994
4590 1269 847
5195 5144 -326
4662 7082 896
953 2619 -813
5197 5684 74
5089 4975 617
2758 4026 958
4049 2360 218
137 3630 -930
1006 8116 338
2709 4174 292
3572 3021 -39
6421 1196 -478
7467 6425 599
6915 4312 762
1266 3281 -291
7500 2012 -318
6478 5976 -686
6213 655 85
1975 4135 528
6015 8060 -579
1570 8186 41
3581 3043 -29
7155 550 486
2286 7240 -642
5605 7585 923
4255 6430 543
6128 2703 -865
1126 1487 442
4820 7238 -761
1128 8381 -626
5850 2171 174
1259 5307 -703
362 4585 -158
938 544 -442
5350 5467 -918
6316 1313 -152
1895 5358 208
4738 4206 -122
6231 4963 -343
2679 3430 -860
1821 3991 385
7490 6191 -657
2521 988 344
4116 1100 492
1095 2347 633
6765 6368 -481
688 8305 -923
205 4723 -322
1214 4901 -636
6367 5971 -788
3326 8506 968
2251 4771 -779
4780 404 -34
8149 3694 727
2666 152 -571
2136 7107 -953
7513 3183 -840
3937 4319 -565
2366 5447 -857
6346 4432 725
8526 7717 921
124 5100 114
6770 6388 763
7953 8299 390
1266 617 598
159 3811 869
3165 1430 -492
2672 33 -747
7872 7506 906
7909 3925 985
4698 274 -114
3905 335 405
842 7120 616
2808 2056 276
3010 422 -109
3819 1061 -414
6015 6167 -894
277 5581 435
2644 8159 -757
1833 8084 -560
4921 1826 -563
8034 7371 938
4490 7424 144
5275 7430 690
77 8187 -48
6767 1763 -316
348 2846 169
2002 3446 -691
2519 5072 429
7724 7925 542
1300 6916 731
2668 7965 -375
740 6848 189
4779 572 376
165 6243 981
8389 7200 -204
6322 1544 -987
2755 4730 -4
1816 2277 -808
5157 7380 868
6962 8397 -496
6742 2920 -136
1214 990 -869
7249 271 -524
1669 7390 747
18 5225 -724
7155 355 812
4561 760 811
2170 2123 752
4114 2267 -881
1915 3403 688
754 4083 -510
4689 1365 -278
4686 3054 -793
217 656 -567
3314 7045 360
5444 6619 -644
1650 6085 -343
4399 3510 -813
1418 2762 180
2052 4802 -877
2107 4737 -2
7035 1083 470
7598 8280 -875
5058 4027 121
2857 4868 402
7854 5673 177
362 7548 -930
4823 6806 457
6415 7325 -547
5362 5067 876
7314 3498 -857
901 4951 820
407 2324 518
456 3322 -142
3491 2165 -463
4562 2415 -226
7411 4040 266
3031 5717 230
6803 1148 -253
233 1848 124
4695 7793 768
8216 7346 457
8120 4501 598
1066 1362 361
152 7340 -716
8378 8173 -153
4310 7898 -483
7252 5541 -155
4315 5382 29
7290 7348 855
3213 3496 688
2041 2033 -771
1273 7249 410
1 7107 -495
8424 4578 513
8494 6928 -412
927 2710 494
3160 1931 937
3206 772 -537
6045 2112 277
5030 3251 961
1223 5114 -98
2494 2306 105
6859 6068 -907
5064 2360 633
717 2063 -281
2097 7855 -475
7250 6546 25
4880 3848 390
2900 1756 409
1699 826 695
1729 2116 727
2628 2391 174
4967 7016 -548
3142 3713 741
3845 6897 -976
1345 1097 545
2727 849 -108
1580 5821 -978
723 4854 782
7060 6179 192
6444 4332 -670
3478 6701 -476
2782 3522 -61
6265 600 -994
2049 4957 898
348 264 -144
4918 1987 359
1092 6624 -559
4546 3606 526
5774 4193 848
6153 6960 140
7450 3023 -798
6245 3120 -43
683 5598 -737
3825 5227 -856
6388 2258 -832
3639 7168 -145
4309 6896 -674
2672 7476 788
6123 2625 -596
3231 5672 160
3993 8034 899
5022 8305 255
4326 4916 -144
3835 2601 952
5471 4218 113
3158 3681 476
3012 3182 276
4620 1166 -534
5156 546 327
5213 5108 474
3228 7997 -817
3879 3560 104
5805 6603 960
5268 4811 -358
7320 7165 -411
3938 1507 28
183 5314 -556
853 1098 420
3692 6053 462
4398 604 -442
1233 5152 514
4977 4840 -140
5093 2262 930
4778 2539 -278
4476 7627 -911
4761 154 790
5022 4549 -195
3090 3958 421
6656 5722 33
3230 7685 547
3561 5414 977
1614 2942 -614
7601 3685 -828
8272 5496 -945
5092 8397 -780
5051 6043 -121
7605 3362 -279
2814 2261 -478
8269 3451 585
4056 2567 -576
4304 750 709
6700 6500 801
6927 3731 700
3613 7185 97
5680 1253 904
7218 1653 -454
6825 3487 652
5137 1641 -149
5686 3707 -282
1862 4003 280
6690 8300 -46
2526 3506 2
3524 6239 7
6944 3778 985
6003 6018 60
778 6065 -909
8544 3409 -656
286 6509 521
4850 4837 -769
2194 365 -530
7070 4278 336
3271 7642 446
5071 7240 188
4892 3989 -378
2687 3134 -656
7649 8448 -587
5654 3861 588
4473 818 -199
4530 7964 470
1759 3058 -792
1190 1496 324
6411 5505 920
398 3083 -754
5450 7657 995
4164 4955 357
610 4277 -451
107 5103 267
512 4850 985
7818 4901 -383
8538 2718 -323
3381 5946 90
6385 4640 -224
758 4702 -360
1651 6552 -470
4914 7034 522
5770 6642 447
1683 2704 -38
7599 4454 -477
8282 3902 -900
7701 1681 -917
6692 4350 6
7326 4189 275
4780 7562 936
5821 1500 -373
5135 4040 -132
2510 37 -712
6197 2027 291
8458 6844 -101
323 4393 -128
3228 4646 12
598 6515 -334
4596 3007 482
7941 890 803
4295 241 -544
217 6339 -907
4242 1399 452
3536 3018 -928
7210 6403 -597
8123 5235 -625
4375 5187 -710
2803 1728 -516
7836 1448 -712
2481 947 -939
583 177 -85
4482 1409 765
5521 5770 726
6766 4217 266
847 2087 -908
6240 6899 -455
6443 5958 179
6455 114 958
4334 6855 -694
6528 7743 -585
4480 2920 957
5073 5716 -706
274 6721 768
5988 3416 -584
4341 6288 -231
6425 7040 -897
4433 517 899
2738 3100 948
3095 4100 -379
1210 2975 -740
6962 8460 -623
6022 1972 58
1065 159 197
2072 5684 -202
4797 7829 645
3544 5333 -33
7566 6506 -708
4535 8409 275
1835 2069 741
5003 3209 138
3143 65 -433
6627 3261 -846
2104 6159 -322
6918 6099 950
3425 1533 687
5140 5439 -127
2451 781 -382
4187 4309 286
5590 5054 825
4847 1663 -448
6836 1164 -93
5013 8426 650
8522 4331 -73
1352 6248 -848
6850 3987 -961
6277 214 -266
7029 509 -490
3655 7605 424
5189 4828 620
1425 3009 621
2167 7331 -826
7022 4359 -279
7802 7128 -615
1814 38 -190
1958 1611 848
6005 6498 371
2249 3202 -815
2170 3782 -949
1834 3847 507
862 1005 238
4067 2702 -71
6138 2128 811
4876 4527 -266
5236 7765 -381
4341 8232 -924
5583 1837 -578
7963 7440 -613
8303 1391 -19
4141 6805 428
178 2445 -242
5118 781 -988
2583 3562 73
4986 4206 -189
7558 5052 716
7315 3136 416
7822 6949 185
4322 3082 -811
7487 7092 -435
848 6168 475
6550 6207 -445
5573 3984 -980
7275 595 8
4625 22 -171
4018 3986 -230
7320 7986 -203
6616 6157 542
3091 303 -358
7395 4760 700
976 1093 -233
5064 5368 -206
6382 8232 618
6726 6109 311
4011 6953 -12
3739 3415 860
7506 1525 71
2741 6148 -891
4457 1498 922
5295 544 782
4220 1471 107
6906 6093 -307
1302 8471 610
1102 8114 26
5174 2566 -132
1462 240 568
1151 2164 -616
3511 6013 671
8514 7790 -492
3038 2965 31
681 8258 -530
6256 5274 820
3501 640 424
3587 2978 -697
7675 1280 -95
5597 6236 79
1962 4603 -839
7575 5660 -373
7158 3625 -613
7399 1664 22
3451 3166 151
7946 6726 841
7102 2161 -416
4884 1705 -218
4450 3594 -231
3880 4460 758
8498 7373 489
4937 595 -586
7516 7732 727
6560 2653 -459
6070 2114 690
1918 4844 -399
8415 2715 -100
1271 152 -318
6686 7062 -914
1629 1398 -54
8079 1007 -608
6402 4471 920
340 1705 649
7290 969 -881
5473 6583 447
5450 407 -718
5359 4568 -843
4124 2091 777
8077 522 949
8336 736 -81
3700 3940 893
8067 4429 -638
4865 8463 168
1111 2961 233
6222 3487 701
6574 700 -618
358 6789 -658
2242 7852 884
5032 3444 821
120 7541 624
1327 4193 148
3047 8406 -507
7711 1043 -253
4654 4408 94
1051 5253 125
4897 6027 -417
2154 2446 -732
5212 5220 -909
626 178 -159
8515 1497 -864
7945 385 -925
1695 8390 -494
5110 8472 734
6731 6560 190
928 3421 339
3660 3687 -380
2196 6577 769
3926 1276 -669
4935 4081 375
6924 6157 1000
6164 5806 727
6773 7583 -339
5347 7163 -15
1647 8321 600
5058 6542 -42
7004 1411 -71
2580 5011 915
7072 3411 -834
8203 7141 -331
268 2726 330
2553 4019 -535
2194 498 373
8349 5470 -944
6121 6950 419
4381 4228 -289
4038 2330 -128
4498 4566 540
4313 491 898
1753 4991 -765
7732 5402 635
5006 3146 183
6402 3864 -654
1252 3252 462
7946 3575 664
7083 3344 392
3593 6972 -519
5462 4725 -428
1429 5944 74
557 5976 -65
2825 148 214
1348 3174 -177
1724 669 -785
7497 3949 -264
2445 1762 -38
6093 1175 691
4341 2177 583
1056 6854 604
3726 2938 543
7731 1321 469
2986 990 -184
445 6880 -622
5162 1845 -230
4031 7193 -147
414 4748 326
4090 5800 477
5691 4434 -668
2375 6674 347
8484 7137 -42
3063 2349 212
1993 2829 967
7249 8496 -811
8097 2901 377
4967 8179 575
390 6545 -829
1168 7514 150
8277 7283 -590
3690 3918 -598
2300 2579 775
5286 1570 656
6197 8310 422
7112 6006 32
7980 7711 574
5003 4633 -986
8405 3724 395
4700 7703 -402
6316 4826 590
4565 7260 35
5988 2394 -72
3492 7125 -32
5143 1270 -897
524 1141 -566
1118 1545 -797
3800 2144 353
907 1444 -538
809 8465 -631
7118 1218 832
5675 820 -30
1905 8430 807
3639 8341 -165
7096 1087 -966
5543 6990 -389
8081 289 -722
3828 1997 130
5933 4902 -391
94 2807 -912
3165 5147 642
42 5774 223
703 8295 -230
3290 8135 -763
6297 2284 -635
3865 7341 349
5612 2023 -937
1560 3668 -636
4260 2028 345
4167 5851 669
213 3283 -441
601 2091 694
5293 6880 353
2723 5230 -816
930 2962 743
608 7970 -486
3803 7116 617
8058 927 334
2762 3283 -576
2098 7697 -336
8420 3448 739
8258 7379 -861
4864 6707 -180
5380 3422 77
6385 3413 -691
2476 1928 -977
3239 5247 242
4293 535 359
3725 3738 -318
3002 3368 -545
4867 2346 -934
1876 5876 632
2495 5562 -895
7836 1787 712
4136 18 -937
2008 407 -682
8126 4422 527
7448 437 309
823 4546 -550
3074 7030 -996
6495 4277 425
7849 8426 -715
8386 7226 87
8213 6641 -363
4685 4408 849
5871 1168 -78
2537 997 -194
8320 8469 766
326 4751 -263
7649 8422 133
5321 3000 957
4436 200 458
2500 2283 88
4709 1902 369
1544 2655 787
7801 2094 -712
5699 4495 -637
2059 4848 -195
5754 6074 -846
7916 715 837
6413 7269 888
6866 4596 -975
363 5030 828
5586 4286 -278
3072 1413 -586
3494 507 168
1379 6788 118
1700 3559 -99
7674 2630 -45
8065 8501 7
2635 604 -143
7106 5940 -437
3790 6749 624
4322 3388 435
57 6294 644
6008 1929 -917
5282 3728 -724
3271 2423 -234
3373 5741 519
7264 8406 -137
3385 3467 343
3369 8178 423
955 6453 -919
7433 6891 18
1882 7999 292
8250 8005 753
1351 3349 712
1428 2275 416
8039 2229 -468
6711 1358 215
2664 2078 -210
6547 1947 -847
977 5418 -972
6448 3378 338
3892 4756 696
3214 2897 791
2299 7770 -749
6166 1889 -646
7644 7183 873
6826 1114 498
8082 3557 -689
4132 936 993
7618 6222 873
575 810 -23
1672 7576 -216
7606 6654 728
7367 5654 557
7190 188 -992
1519 2114 810
3271 1541 826
3127 5238 649
3316 1531 -922
1291 6609 -647
2109 1018 55
7285 3063 391
6515 8213 -763
7461 3127 688
6298 317 479
7951 4182 -616
