952 925
738 841 -81
581 199 -273
949 647 -408
160 314 635
649 728 -655
860 605 -572
882 555 -92
96 301 -749
686 918 397
79 73 510
709 144 -187
204 775 779
98 626 979
916 521 929
675 488 -292
465 242 -742
383 353 -195
5 401 -487
738 939 357
756 764 356
104 921 -50
872 726 16
431 574 338
949 214 -593
867 725 145
265 855 707
729 834 -265
889 64 622
349 65 -399
75 545 -67
363 260 -717
191 907 635
176 539 -705
737 869 303
927 556 31
914 455 -506
524 29 666
497 643 511
581 782 519
202 666 -867
665 781 773
651 81 679
18 753 544
193 892 51
595 688 -916
240 489 -568
460 221 -602
505 120 458
95 328 751
520 25 -734
244 120 -885
274 197 -675
90 553 -547
433 148 -729
368 314 78
765 620 -404
937 185 -998
338 147 710
12 689 -883
802 781 -511
893 247 977
934 467 565
831 931 -95
47 903 -374
394 503 -105
639 491 -756
833 777 -30
259 600 633
467 175 -827
246 97 885
389 866 95
207 849 -383
458 348 -32
933 654 580
595 539 -854
903 187 815
348 462 -192
94 941 942
568 776 385
240 815 -798
121 463 709
419 216 -822
721 930 447
778 343 963
665 185 136
946 190 -489
716 321 650
31 24 961
426 371 -266
857 181 454
949 551 821
321 329 864
848 105 819
131 230 -181
686 195 -660
44 178 508
898 43 268
178 31 -257
250 832 531
540 359 -473
934 147 -319
948 617 12
628 522 -262
235 952 622
109 224 -382
265 732 527
199 764 559
24 525 10
560 17 149
215 714 397
363 754 456
554 327 -210
509 682 -974
149 51 158
264 616 613
907 367 60
216 350 829
61 821 350
543 102 158
952 829 -26
90 68 306
377 665 -936
912 833 -904
299 526 -766
878 52 76
888 659 44
913 132 -750
602 214 852
567 151 -964
243 801 841
595 786 810
467 443 324
909 89 -591
372 850 -674
564 79 -243
654 356 315
463 325 -708
801 136 -269
636 508 116
719 207 -801
452 350 556
375 645 828
508 462 -824
254 166 -324
334 765 -39
267 663 -802
285 230 -249
330 164 101
44 775 231
10 69 -373
152 417 117
447 758 568
160 305 -458
672 318 -86
258 761 -352
440 298 484
582 417 897
510 896 -93
393 771 -401
523 914 131
525 210 127
164 896 -409
662 454 672
106 948 163
882 511 -39
420 541 -145
99 209 330
463 303 224
439 666 76
775 658 671
377 345 849
786 408 147
276 507 499
523 434 942
897 485 -746
774 273 -771
267 550 -968
521 270 449
115 206 -693
479 630 147
446 950 -714
231 887 -495
926 240 -886
473 511 -810
729 287 521
426 6 -122
469 810 962
378 78 -396
542 354 279
553 64 -7
430 833 -698
895 885 915
470 734 -759
541 947 -641
363 949 670
489 877 -945
912 874 216
681 457 599
515 481 92
276 432 -200
254 108 516
470 197 713
291 627 -577
355 837 464
620 300 126
625 72 794
61 176 -56
940 469 837
20 115 466
154 163 -746
725 824 311
739 928 775
549 194 -88
849 729 697
198 464 -70
427 825 -154
687 617 -596
65 250 -306
570 883 -265
465 878 -82
875 226 260
339 64 251
797 575 -954
621 549 -658
70 591 689
91 780 782
502 915 -295
565 767 -849
280 527 429
294 35 389
350 21 353
237 506 -134
739 666 -23
23 409 -151
109 636 275
50 49 -623
137 930 285
299 481 -110
79 723 -57
951 216 235
124 323 -800
263 295 559
451 639 -9
161 757 -398
661 660 -679
545 12 -831
255 932 -722
684 696 943
552 296 884
285 870 889
347 310 165
722 318 103
316 506 359
449 184 -571
583 855 -692
253 380 347
378 763 150
27 665 640
174 201 695
367 152 439
660 470 851
159 880 94
713 370 295
883 873 146
81 144 -55
406 499 432
116 102 -635
368 277 798
140 531 -70
939 276 560
293 745 -425
370 122 2
61 827 -2
444 48 -725
864 776 696
65 585 607
539 20 -983
337 938 476
71 567 -808
279 492 895
223 598 -268
358 416 -364
215 425 -633
485 808 709
183 334 -784
121 171 462
919 159 912
51 598 878
51 865 -752
842 211 180
936 380 -161
516 361 -393
686 61 -476
149 665 620
353 658 -833
74 231 989
799 602 778
827 946 -95
89 455 -201
583 794 111
443 630 830
431 848 907
699 752 982
706 386 23
732 643 47
81 913 -719
701 485 678
213 813 622
384 846 321
793 417 749
768 137 -102
575 161 -734
245 292 953
825 585 -321
714 896 369
477 115 -183
215 587 427
145 378 -909
336 248 565
759 948 825
399 928 -420
895 419 -294
70 351 -560
87 61 36
542 213 -597
332 612 391
358 62 -416
11 909 -159
821 372 914
387 199 -86
272 664 -386
112 768 516
161 348 -976
451 388 361
920 437 -234
477 485 933
249 193 290
153 591 -646
81 820 600
570 290 519
37 548 521
112 336 -779
768 472 728
679 73 -67
238 92 881
438 571 99
158 552 -813
646 515 382
656 907 810
353 319 469
847 890 -22
189 853 -249
931 114 -720
211 811 979
617 627 864
853 422 -618
845 475 -441
62 893 -516
492 251 527
382 363 -728
102 253 -56
349 626 59
487 396 835
888 927 -978
639 616 -835
745 126 -643
448 273 117
936 190 -966
600 64 -527
668 321 -686
320 712 -153
763 547 710
211 519 -654
539 226 372
815 499 132
718 658 -656
431 570 805
54 539 -990
508 37 -314
388 831 879
103 623 -755
630 104 -424
870 876 95
486 41 -455
244 189 -249
82 35 637
682 212 223
656 222 -979
612 298 642
406 271 64
208 661 -834
79 28 -650
821 78 -92
60 943 -175
522 411 -346
772 676 -558
19 83 -772
885 669 -261
654 593 -971
101 791 -40
455 880 -465
809 526 279
335 514 879
717 266 532
850 687 3
782 358 -272
484 18 579
344 168 -966
624 945 444
906 744 -476
206 437 241
756 837 -322
177 679 0
686 717 -715
702 646 758
870 468 145
124 507 -744
827 680 495
818 397 -43
34 928 622
91 328 122
771 362 -685
2 818 955
718 315 -3
765 703 -557
952 711 -193
784 65 -437
500 390 92
55 908 683
856 179 -193
158 548 -52
44 88 -476
291 832 645
114 701 -658
96 50 -550
664 490 257
799 710 -531
345 888 -372
415 629 722
880 570 788
333 390 -904
415 766 335
299 378 894
885 212 -493
211 380 947
634 219 -920
234 484 588
759 703 -355
868 827 -545
399 805 -763
133 172 907
232 188 355
43 177 -758
812 683 562
270 790 -330
730 476 144
947 560 -560
391 11 137
810 887 595
700 110 267
43 796 -475
289 647 580
498 352 137
341 37 268
754 814 -536
293 927 -327
683 149 30
903 912 826
585 311 -143
876 474 -603
413 546 66
557 325 -155
235 117 -747
82 184 4
125 255 -361
932 30 521
911 26 -438
371 254 249
402 824 -825
143 873 -398
856 676 676
417 588 -383
35 670 763
487 585 361
625 926 853
497 694 275
730 345 90
677 480 -220
8 15 233
476 172 -930
236 836 239
181 147 415
540 469 -13
820 53 -329
21 226 634
764 14 -332
211 631 436
740 74 -818
586 433 -478
831 148 379
395 872 985
451 900 -349
646 479 -872
295 280 624
365 204 -926
951 754 -928
766 723 355
31 147 -236
73 569 705
206 72 127
280 825 501
330 484 -859
56 704 384
822 185 -388
827 922 910
294 588 422
378 775 -145
356 460 -477
677 880 952
468 62 -610
198 336 87
895 447 187
702 896 -168
591 167 676
847 205 -607
94 816 -199
576 566 -846
353 315 730
507 675 -39
837 687 -485
623 312 422
238 307 673
886 331 818
586 313 999
594 711 659
455 258 -357
86 585 -239
785 643 -746
586 876 630
939 723 -748
766 283 -484
120 462 -825
576 5 554
230 143 179
461 412 -361
278 549 674
755 548 190
96 330 -73
836 699 899
437 879 -932
388 491 227
161 647 -696
350 534 308
531 54 -636
420 90 -533
713 189 -647
234 86 770
738 688 -188
465 362 103
824 916 390
186 205 379
218 249 -537
805 126 774
438 831 348
281 807 -107
916 205 90
295 688 748
336 855 665
385 615 -841
884 776 577
72 105 302
36 582 -951
822 902 -156
810 405 -970
245 854 507
531 12 -437
45 73 345
867 145 183
169 253 242
564 396 849
318 369 -26
306 540 346
354 789 -461
307 279 -139
648 357 419
104 870 -208
429 477 -131
711 170 741
820 535 -844
182 618 -222
927 298 515
583 405 990
118 741 109
749 686 926
715 259 305
880 435 875
779 69 789
357 396 -577
430 610 867
645 892 153
394 348 -157
253 434 -241
869 920 -934
916 447 -8
352 781 163
790 683 766
860 690 744
145 237 -620
655 553 -806
61 807 -337
274 551 403
472 811 555
930 93 -146
401 452 -200
563 672 67
23 433 93
731 892 77
856 507 -339
144 682 -419
529 726 207
326 210 -752
686 893 969
10 314 -27
950 87 -522
456 684 -998
85 88 707
201 149 878
740 371 -865
731 536 -384
106 181 -36
838 184 -898
353 838 461
168 334 492
203 778 -582
779 472 -517
246 54 922
798 874 12
