961 2469
445 153 841
920 18 418
482 249 686
809 393 31
1 623 919
184 401 370
891 698 363
726 149 526
798 921 813
511 623 556
871 686 350
58 708 297
355 371 105
218 805 779
796 782 822
97 7 590
922 584 199
354 798 379
261 5 424
650 779 172
162 105 65
675 278 138
138 875 909
527 644 365
907 220 512
915 717 89
436 659 150
714 469 553
385 180 575
46 683 430
118 126 142
661 569 54
448 648 806
806 780 610
583 25 943
92 400 521
365 667 557
11 644 298
680 748 843
71 329 436
302 562 686
123 79 404
672 325 385
663 569 936
301 750 569
452 860 520
690 719 661
714 441 808
321 154 333
141 790 99
102 327 5
761 482 908
206 521 521
513 383 442
153 548 62
682 206 330
643 139 928
242 324 812
731 380 971
591 893 5
183 243 413
231 502 957
652 26 463
374 368 792
293 159 511
470 811 515
141 59 261
656 186 760
542 815 290
36 484 213
876 298 509
367 393 285
244 248 499
622 249 609
938 627 426
793 414 374
458 54 391
610 514 447
245 913 139
458 916 109
478 460 414
820 661 88
898 364 108
159 37 156
792 644 98
871 888 290
521 836 363
143 636 634
148 263 901
342 414 415
304 129 322
736 527 121
17 301 536
251 65 579
144 82 491
542 482 48
242 33 180
531 784 424
531 892 538
946 442 853
553 69 301
452 584 558
679 354 222
825 344 816
11 498 158
210 207 786
529 452 743
427 752 856
681 612 117
343 231 795
493 487 759
894 595 878
612 198 749
281 8 19
209 282 97
458 767 337
855 588 292
76 657 484
131 47 866
686 182 581
955 466 983
937 574 648
265 140 492
355 274 464
408 397 745
469 254 113
532 746 14
566 816 767
753 916 691
181 781 171
206 379 678
532 190 849
85 638 554
801 806 933
41 706 661
830 198 249
474 732 984
845 836 455
174 159 663
273 686 22
622 639 91
584 468 502
407 398 462
67 798 985
448 392 654
943 42 710
601 16 429
766 303 42
96 13 128
473 5 631
936 519 33
287 256 136
397 29 466
441 602 794
652 351 948
45 314 41
189 141 250
341 44 196
702 296 133
580 831 512
7 19 418
959 380 316
346 451 102
662 482 119
409 219 706
161 673 586
255 383 56
386 555 27
858 71 429
249 873 480
335 525 915
741 225 422
918 584 789
729 882 827
621 941 210
707 51 890
868 803 705
742 451 957
218 287 548
76 793 14
62 288 16
72 918 615
680 666 368
493 310 719
265 756 179
57 949 921
735 40 749
36 12 351
702 790 949
254 915 760
893 180 339
282 896 11
951 104 513
184 692 971
524 286 769
206 706 971
402 125 406
528 34 355
776 949 283
875 802 136
592 855 172
155 196 27
519 476 526
914 242 191
688 286 612
412 769 707
382 45 885
723 503 236
396 367 620
188 554 609
455 373 646
952 41 153
668 484 335
209 548 807
807 433 770
17 122 704
693 857 310
223 94 371
846 468 722
389 616 352
948 253 364
28 911 462
460 227 943
246 476 355
546 314 246
227 662 676
881 340 14
941 17 296
867 593 304
259 119 936
670 782 738
402 104 633
872 242 257
455 957 977
555 765 330
649 549 247
464 491 779
659 292 35
543 901 163
245 625 804
932 415 79
458 683 380
193 436 361
842 797 996
630 658 157
282 862 568
894 1 162
81 727 44
755 826 911
596 815 795
32 308 644
40 46 235
73 277 97
411 586 345
162 184 232
367 535 972
558 15 302
334 624 121
243 637 272
230 351 559
174 950 848
388 79 617
700 123 811
285 850 908
493 761 770
775 309 391
208 904 142
263 775 945
153 433 515
734 107 120
605 172 661
531 20 465
815 350 809
4 452 905
383 453 383
699 520 446
120 147 551
158 738 117
373 252 357
38 391 404
57 808 824
746 274 754
771 291 911
548 40 918
283 54 997
550 175 497
358 120 386
291 548 841
274 56 718
172 636 865
158 743 119
907 421 880
578 328 499
338 667 585
605 938 417
363 798 260
490 829 537
162 488 900
712 46 549
896 485 810
511 261 237
25 686 501
641 490 487
945 322 326
386 952 547
517 366 99
74 132 578
889 584 575
528 848 863
262 601 833
399 124 709
212 106 10
589 284 956
855 279 945
692 23 132
457 409 620
374 172 869
219 741 427
202 111 847
437 86 158
189 388 985
731 153 901
603 908 841
498 906 369
250 226 150
201 915 932
700 94 88
264 474 37
631 114 493
644 441 643
703 857 470
910 220 551
297 532 721
793 791 294
299 786 816
302 364 837
148 813 951
367 389 323
235 269 64
639 853 789
406 571 45
524 510 469
84 658 119
186 182 401
55 308 432
530 511 440
294 405 999
280 814 244
376 920 191
3 409 49
346 808 9
471 456 390
205 635 820
906 186 215
297 573 84
293 586 797
400 445 180
321 769 132
370 203 720
841 20 253
431 582 368
43 289 670
421 95 71
514 135 447
773 575 582
829 706 110
348 952 863
471 214 491
529 82 242
262 482 294
437 956 933
50 143 61
692 894 235
710 415 595
348 847 118
92 694 192
884 862 809
2 369 927
257 659 183
548 252 265
414 768 685
599 554 277
194 107 807
572 591 152
491 711 930
896 99 445
927 301 153
50 289 749
392 708 57
923 408 899
466 278 915
29 367 852
709 939 313
854 294 556
59 403 743
59 503 423
800 848 563
685 461 516
473 893 221
127 414 953
199 145 397
171 30 613
896 550 729
446 418 996
143 433 141
706 632 193
408 601 980
914 740 218
493 521 207
253 752 879
138 607 997
489 69 433
915 151 231
337 442 439
391 143 639
390 391 694
857 301 236
524 385 889
403 778 136
253 903 471
72 936 201
170 377 394
645 635 1000
115 455 154
146 218 14
240 390 276
158 275 823
300 37 342
754 712 560
556 653 616
694 529 654
26 744 119
141 44 396
28 422 476
748 782 626
361 670 999
228 52 969
391 202 63
787 612 932
200 828 842
592 179 626
295 197 600
494 490 929
319 827 198
908 337 978
175 107 393
951 103 895
615 820 165
47 861 371
505 163 196
58 484 388
668 267 391
585 722 792
618 616 306
749 697 867
795 280 864
548 795 841
28 67 372
699 359 763
732 624 278
772 691 930
413 736 469
375 276 106
230 482 535
347 159 966
370 633 108
735 921 159
161 198 263
879 20 526
123 385 598
198 453 470
430 227 152
618 45 287
78 46 65
681 246 642
927 257 202
600 469 641
268 61 323
865 939 777
873 374 96
220 329 45
622 872 777
895 518 622
668 894 941
701 323 132
141 334 324
430 395 367
891 888 46
586 174 578
839 687 907
235 948 859
138 5 279
246 81 902
39 262 985
740 123 197
929 557 578
115 813 341
439 866 827
915 383 199
584 83 83
518 378 512
119 840 204
749 956 806
128 437 768
478 216 771
752 830 708
890 419 139
692 833 834
597 582 450
713 690 490
178 144 115
618 887 772
91 470 511
203 532 50
243 367 517
74 361 168
417 608 785
924 19 657
294 148 990
694 844 138
7 495 588
585 608 930
131 283 362
733 702 472
245 260 263
373 327 675
202 754 684
572 299 640
358 916 23
830 678 517
267 769 314
680 544 171
720 783 611
239 637 965
466 738 108
696 469 401
87 398 894
169 944 625
546 155 919
526 634 10
497 254 15
504 751 745
745 960 145
159 374 275
871 734 778
857 574 184
688 541 205
6 843 944
615 741 285
441 156 31
921 402 392
905 587 244
458 19 62
89 854 482
579 544 20
619 727 997
838 306 304
207 534 862
90 468 713
313 726 813
555 480 684
559 349 789
515 403 88
160 902 701
402 600 616
467 109 217
818 936 151
430 307 277
870 713 270
212 752 363
226 740 84
153 176 653
133 867 177
81 687 650
329 406 978
515 97 256
141 710 804
373 237 154
946 289 532
463 164 527
429 331 789
705 192 542
196 765 675
22 643 401
83 527 61
606 816 853
74 421 552
601 263 870
527 756 17
84 522 304
728 548 503
60 20 144
138 529 851
149 601 702
480 411 620
134 236 753
946 808 679
603 239 773
563 922 528
387 771 599
536 252 345
59 944 866
906 478 287
247 195 515
33 749 407
928 435 973
506 139 803
583 105 696
409 245 972
178 255 428
683 52 701
234 916 361
494 585 149
519 155 382
168 349 460
711 288 459
218 660 415
799 874 52
145 846 236
52 888 390
251 178 846
794 674 321
345 399 191
894 104 890
278 704 179
630 881 172
287 314 938
536 125 875
680 651 276
258 727 228
870 663 862
624 884 513
171 868 250
172 709 991
104 143 383
175 295 891
595 894 232
356 762 760
566 806 729
455 587 742
882 950 287
922 744 427
157 845 453
520 122 532
75 371 508
817 932 146
611 365 888
94 878 490
928 498 815
484 267 581
487 296 61
52 816 470
427 906 289
755 696 146
67 225 287
115 66 617
538 218 811
735 52 423
464 181 676
586 526 808
892 447 383
877 903 915
944 950 566
497 87 366
309 452 287
122 515 432
49 621 574
328 402 131
630 616 415
234 414 996
43 782 231
724 592 5
677 221 641
173 644 488
210 481 176
280 381 911
204 471 791
245 370 960
415 874 412
585 759 889
348 74 500
575 440 324
4 912 270
548 559 638
504 215 419
122 433 325
594 579 471
626 300 512
665 677 129
425 765 168
33 256 908
115 708 147
810 941 976
125 366 207
261 523 61
504 247 354
749 724 102
687 133 348
18 702 613
659 656 207
881 595 447
638 846 192
705 82 202
393 800 603
669 677 382
841 490 239
671 769 278
471 517 660
355 300 819
216 273 973
227 471 142
302 209 805
547 408 566
637 272 719
919 382 601
78 647 64
823 473 339
891 632 815
406 809 254
939 110 138
774 219 911
208 709 218
755 440 780
223 174 867
441 562 622
502 667 549
285 728 780
280 253 941
794 827 103
152 624 461
397 317 372
278 947 856
132 869 597
331 304 240
204 156 948
594 379 93
64 448 569
490 250 788
851 812 858
570 920 409
574 931 249
928 305 726
953 260 652
318 107 933
628 710 266
464 78 626
354 598 866
263 10 693
626 133 178
857 482 415
578 497 244
565 332 203
949 460 114
62 723 765
864 660 793
432 874 776
14 764 423
369 13 987
77 715 471
228 640 93
177 416 620
357 451 917
113 788 531
33 784 317
889 27 482
877 203 801
383 21 98
710 796 487
267 810 908
765 766 220
666 927 654
526 248 221
272 557 841
898 424 999
412 7 838
623 862 555
2 480 581
53 183 816
843 669 678
897 822 864
758 176 664
507 571 286
671 865 526
12 589 946
387 56 783
862 493 857
859 776 396
729 468 704
525 512 780
892 45 544
307 105 912
102 772 302
434 357 560
832 877 261
430 585 818
911 367 189
607 626 971
420 500 502
307 689 113
273 522 741
534 298 489
748 230 662
916 648 407
740 282 140
88 826 801
240 792 253
448 913 802
175 101 439
792 444 152
813 125 826
122 245 864
258 164 542
259 115 900
113 267 128
648 528 678
185 276 853
694 176 401
527 184 579
717 676 43
162 559 52
365 840 888
501 940 118
911 195 605
282 308 370
458 39 781
260 335 398
750 134 605
76 879 414
126 158 463
668 749 815
612 98 193
926 928 996
679 531 430
699 464 934
658 167 150
187 463 598
341 505 859
342 337 451
35 321 81
485 88 891
525 634 199
466 908 11
929 703 987
597 179 600
585 4 205
377 299 98
216 886 362
883 300 995
234 489 120
520 33 420
225 773 980
918 239 30
552 854 659
439 104 192
886 718 35
171 272 20
916 825 143
830 331 626
486 856 807
26 97 306
164 700 250
256 240 494
839 100 72
478 149 69
219 629 545
809 624 138
619 118 234
693 792 805
667 749 746
524 142 237
828 764 28
626 706 890
906 658 624
160 712 79
335 848 441
782 250 873
314 294 362
624 509 158
859 934 593
587 889 927
889 743 682
734 646 693
576 489 509
115 638 501
162 660 937
775 370 432
635 355 789
321 9 510
653 1 400
131 43 825
17 473 484
37 727 835
902 146 589
374 436 581
163 754 546
150 512 765
69 450 374
39 771 4
311 702 226
623 935 351
911 348 430
270 494 239
241 905 522
915 524 229
110 251 728
348 632 246
802 766 955
151 553 168
250 667 204
673 716 371
828 486 935
387 357 478
579 373 199
194 580 807
137 509 283
272 417 562
669 621 206
767 748 172
587 431 94
445 639 383
506 271 843
497 226 976
722 99 3
360 915 628
677 630 292
606 607 453
713 807 499
839 595 474
332 921 394
920 171 783
167 624 464
253 28 586
133 35 252
433 474 25
696 170 221
513 23 19
164 173 691
899 637 313
87 477 280
143 437 636
961 165 550
199 420 33
315 791 936
333 753 283
415 406 921
1 750 918
279 465 300
621 743 439
505 730 671
761 49 957
16 210 664
955 546 376
743 105 211
72 594 440
909 72 706
40 103 404
33 726 219
176 252 93
91 909 640
378 390 868
438 807 265
393 580 631
900 828 552
9 495 861
606 574 534
863 749 284
641 616 992
545 844 760
332 43 935
392 838 650
386 861 309
864 91 704
851 15 8
754 213 907
833 29 301
885 559 648
280 759 752
838 215 568
647 121 602
91 223 704
575 811 487
300 484 454
558 34 23
959 548 870
316 189 179
74 574 942
341 869 235
728 779 677
295 156 454
440 451 118
346 573 881
490 119 226
235 202 345
175 350 139
609 876 967
82 750 729
252 440 830
636 631 808
618 305 518
724 324 1000
12 96 465
118 898 986
617 488 721
114 58 179
652 387 256
581 584 306
456 305 931
562 640 455
200 664 466
855 862 133
217 38 394
782 453 126
155 190 171
203 835 868
103 371 924
879 355 212
537 523 732
695 375 540
214 555 811
411 638 8
522 60 133
190 802 117
90 840 9
402 492 266
347 772 546
626 619 684
650 119 175
916 594 684
524 74 514
443 519 473
245 654 523
882 590 921
576 409 200
243 626 79
57 920 654
699 960 394
76 304 626
625 382 378
91 930 927
311 774 731
774 323 3
368 896 819
257 73 178
779 38 643
418 327 956
287 741 964
212 16 273
525 105 780
338 646 647
791 166 223
175 553 25
430 205 747
254 821 364
714 352 153
61 849 647
225 285 362
192 260 766
816 836 558
442 490 889
61 411 410
655 660 245
431 730 34
712 628 933
885 810 622
419 567 860
771 684 972
794 877 358
351 853 494
13 879 569
6 746 216
563 564 506
831 563 416
889 85 986
43 347 277
143 28 650
54 583 69
624 374 392
309 894 868
518 682 759
705 224 887
489 640 844
890 586 831
340 761 344
481 63 776
337 641 464
516 201 153
538 453 62
699 878 556
169 149 435
467 350 369
376 353 972
113 751 71
827 877 57
61 34 772
610 6 746
329 625 250
495 773 45
842 203 838
598 107 805
501 50 231
244 236 646
401 571 455
321 543 604
349 551 794
105 645 76
490 777 458
265 84 304
164 136 793
816 418 622
918 834 706
171 536 953
128 813 144
750 258 212
195 582 552
876 372 882
194 199 702
629 185 268
509 454 606
821 658 633
166 712 565
107 498 483
155 606 89
591 388 174
621 709 988
748 807 369
530 551 705
899 551 25
588 578 181
35 378 405
108 626 9
381 713 832
605 414 428
547 246 917
377 656 345
926 77 519
894 345 58
121 730 297
439 821 312
324 386 141
628 257 39
770 622 610
462 653 837
391 921 203
339 163 997
406 630 574
170 941 456
113 610 534
522 689 620
527 136 852
731 555 263
806 480 909
498 159 825
822 824 385
755 416 734
579 440 413
947 75 729
315 387 531
816 351 439
775 837 229
308 871 747
293 238 582
948 871 405
159 21 972
699 190 313
672 483 542
122 656 87
522 445 429
733 362 506
384 591 422
949 487 643
450 690 1000
879 899 632
677 78 178
120 706 465
680 262 849
654 33 846
268 242 169
148 170 310
779 641 709
596 732 862
802 477 690
256 808 71
904 728 737
718 909 809
362 739 416
958 178 767
907 428 872
191 326 810
372 100 267
280 3 425
253 292 724
830 631 900
630 409 321
570 695 210
135 69 333
805 233 13
774 869 957
927 873 51
945 701 424
138 760 726
553 279 522
134 674 380
531 28 527
678 615 317
286 904 822
184 477 305
934 566 213
793 564 457
283 559 253
778 259 27
732 157 602
827 372 60
9 674 539
801 364 417
260 355 679
902 362 958
241 588 41
632 925 56
665 225 826
867 864 953
754 212 758
181 661 436
126 808 970
723 367 647
442 611 933
302 419 637
799 788 244
657 428 413
653 506 852
378 187 859
510 230 315
222 405 719
395 293 485
29 487 971
236 66 135
379 712 72
502 845 473
810 54 626
85 56 774
226 341 78
328 430 484
560 300 33
814 739 512
570 33 38
276 212 388
217 472 99
937 653 995
704 639 908
482 455 480
735 426 379
859 87 379
60 759 807
637 598 332
397 625 473
930 352 455
632 719 638
434 158 760
537 736 590
401 712 323
21 874 506
410 739 329
208 821 102
890 879 766
182 756 329
15 311 801
175 424 658
204 191 925
621 217 755
421 23 22
628 782 620
298 220 371
334 44 443
947 291 310
960 673 528
689 85 363
948 762 960
811 63 674
374 461 439
489 155 364
857 423 853
173 515 181
34 26 86
376 124 519
489 747 664
924 243 330
97 918 663
668 310 891
410 86 255
412 219 337
822 734 390
537 364 450
15 435 527
830 413 255
66 471 272
778 534 160
153 151 186
307 402 705
124 749 871
119 185 13
833 511 518
390 363 714
727 425 402
330 328 11
524 325 125
452 230 624
104 296 355
597 478 117
139 791 714
36 260 405
184 238 700
722 395 732
254 773 850
54 124 519
890 834 387
633 785 831
408 497 597
80 46 454
680 498 640
472 468 299
349 90 73
484 173 211
276 422 145
648 228 347
570 577 240
695 493 433
97 918 606
927 113 986
855 532 927
946 219 776
423 738 435
811 715 893
790 934 289
512 833 432
347 559 792
331 863 337
773 16 225
953 449 717
832 655 581
106 839 363
684 216 237
416 197 937
378 157 774
457 425 391
824 128 805
128 934 92
723 917 894
659 103 758
158 524 341
301 630 234
639 679 968
667 641 562
865 585 706
784 570 368
718 347 28
108 175 472
141 882 963
895 168 126
325 228 163
595 397 879
952 747 131
937 619 498
60 911 99
588 221 536
820 704 673
682 489 7
312 31 329
699 643 988
181 510 777
630 766 524
108 570 620
315 891 511
137 703 46
917 743 867
882 865 895
3 803 215
926 645 412
112 205 343
886 896 269
606 161 94
585 939 798
411 9 341
578 805 383
758 382 24
264 28 546
776 282 424
163 757 791
560 773 137
925 79 883
206 367 15
817 8 360
658 733 202
721 21 384
805 746 56
148 22 714
278 33 906
628 302 551
132 9 889
680 753 810
436 81 149
342 527 752
69 149 465
717 826 106
571 58 196
342 422 587
920 302 497
759 716 353
745 637 102
374 416 939
182 339 257
655 93 513
167 284 87
17 733 541
729 230 194
237 295 330
189 381 175
491 161 603
924 517 754
270 279 459
542 91 717
514 867 332
789 200 569
235 746 618
290 611 323
587 719 808
569 253 137
620 1 908
782 276 715
391 447 116
304 91 376
779 564 314
252 293 101
662 951 137
919 451 708
654 740 626
482 50 661
39 283 32
331 446 533
591 765 662
462 489 972
219 776 733
462 330 115
492 281 719
920 184 560
438 749 563
914 253 970
804 948 694
754 582 594
256 887 461
807 37 952
86 818 323
226 804 971
247 290 887
740 193 245
348 244 269
283 40 342
260 315 195
296 815 410
894 528 730
23 869 309
321 753 503
96 725 701
676 345 305
595 611 746
